#Column	separation	(F9.2)	Distance from master source to user source	(.separation)	["arcsec"]	[pos.angDistance]
#Column	name	(A22)	Source name in the format '2CXO Jhhmmss.s{+|-}ddmmss[X]'	(master_source.name)	[""]	[]
#Column	ra	(A12)	Source position, ICRS right ascension	(master_source.ra)	[""]	[pos.eq.ra;meta.main]
#Column	dec	(A11)	Source position, ICRS declination	(master_source.dec)	[""]	[pos.eq.dec;meta.main]
#Column	err_ellipse_r0	(F9.2)	Major radius of the 95% confidence level position error ellipse	(master_source.err_ellipse_r0)	["arcsec"]	[]
#Column	err_ellipse_r1	(F9.2)	Minor radius of the 95% confidence level position error ellipse	(master_source.err_ellipse_r1)	["arcsec"]	[]
#Column	err_ellipse_ang	(F9.1)	Position angle (ref. local true north) of the major axis of the 95% confidence level error ellipse	(master_source.err_ellipse_ang)	["deg"]	[]
#Column	significance	(F9.2)	Highest flux significance (S/N) across all stacked observations and energy bands	(master_source.significance)	[""]	[]
#Column	likelihood_class	(A20)	Highest detection likelihood classification across all stacked observations and energy bands	(master_source.likelihood_class)	[""]	[]
#Column	hard_hm	(F9.4)	ACIS hard (2.0-7.0 keV) - medium (1.2-2.0 keV) energy band photon flux hardness ratio	(master_source.hard_hm)	[""]	[]
#Column	hard_hm_lolim	(F9.4)	ACIS hard (2.0-7.0 keV) - medium (1.2-2.0 keV) energy band photon flux hardness ratio (68% lower confidence limit)	(master_source.hard_hm_lolim)	[""]	[]
#Column	hard_hm_hilim	(F9.4)	ACIS hard (2.0-7.0 keV) - medium (1.2-2.0 keV) energy band photon flux hardness ratio (68% upper confidence limit)	(master_source.hard_hm_hilim)	[""]	[]
#Column	acis_time	(F9.1)	Total livetime for all ACIS imaging observations contributing to the Master Sources Table record of the source	(master_source.acis_time)	["s"]	[]
separation	name	ra	dec	err_ellipse_r0	err_ellipse_r1	err_ellipse_ang	significance	likelihood_class	hard_hm	hard_hm_lolim	hard_hm_hilim	acis_time
    27.74	 2CXO J174541.8-290042	 17 45 41.86	-29 00 42.15	     0.72	     0.72	    153.5	     8.53	                TRUE	   0.9781	   0.9538	   0.9963	1956160.3
    27.91	 2CXO J174539.0-290053	 17 45 39.10	-29 00 53.17	     0.74	     0.73	    119.1	    23.18	                TRUE	         	         	         	2443913.7
    27.91	 2CXO J174540.5-290055	 17 45 40.53	-29 00 55.29	     0.72	     0.72	    168.8	    25.41	                TRUE	   0.9994	   0.9850	   1.0000	2443420.9
    28.18	 2CXO J174539.4-290055	 17 45 39.45	-29 00 55.26	     1.54	     1.54	      0.0	    23.27	                TRUE	   0.9994	   0.9450	   1.0000	2454535.9
    28.25	 2CXO J174541.0-290003	 17 45 41.03	-29 00 03.07	     0.71	     0.71	      0.0	     4.67	                TRUE	         	         	         	2336887.5
    28.72	 2CXO J174539.2-290054	 17 45 39.23	-29 00 54.83	     0.76	     0.74	     20.9	    23.11	                TRUE	         	         	         	2454535.9
    29.05	 2CXO J174539.3-290000	 17 45 39.31	-29 00 00.72	     0.73	     0.72	    174.8	    24.51	                TRUE	         	         	         	2443420.9
    29.34	 2CXO J174538.7-290004	 17 45 38.71	-29 00 04.50	     0.74	     0.73	     84.4	    21.49	                TRUE	   0.9994	   0.9650	   1.0000	2426580.7
    29.79	 2CXO J174539.0-290055	 17 45 39.06	-29 00 55.06	     0.72	     0.71	    155.6	    47.85	                TRUE	         	         	         	2483309.1
    30.64	 2CXO J174538.3-290048	 17 45 38.31	-29 00 48.76	     0.71	     0.71	     86.1	    46.59	                TRUE	   0.9994	   0.9913	   1.0000	1986626.2
    30.93	 2CXO J174538.1-290047	 17 45 38.19	-29 00 47.28	     0.71	     0.71	      0.0	    47.73	                TRUE	   0.9994	   0.9863	   1.0000	1848972.8
    32.12	 2CXO J174539.5-290059	 17 45 39.58	-29 00 59.70	     0.71	     0.71	      0.0	    22.11	                TRUE	   0.9619	   0.9400	   0.9825	2454532.8
    32.17	 2CXO J174538.8-290056	 17 45 38.85	-29 00 56.26	     0.71	     0.71	      0.0	    44.64	                TRUE	         	         	         	2423653.5
    33.57	 2CXO J174537.5-290033	 17 45 37.52	-29 00 33.78	     0.92	     0.75	     33.7	    35.08	                TRUE	   0.9994	   0.8226	   1.0000	1773723.1
    33.80	 2CXO J174539.1-285956	 17 45 39.17	-28 59 56.33	     0.73	     0.73	    115.6	    23.35	                TRUE	   0.9994	   0.9263	   1.0000	2443423.8
    34.55	 2CXO J174538.0-290051	 17 45 38.09	-29 00 51.35	     0.74	     0.73	    152.5	    55.24	                TRUE	   0.9994	   0.7951	   1.0000	1848972.8
    35.25	 2CXO J174537.3-290027	 17 45 37.35	-29 00 27.71	     0.73	     0.72	     80.2	    30.92	                TRUE	         	         	         	1716933.1
    35.50	 2CXO J174537.9-290006	 17 45 37.91	-29 00 06.20	     0.74	     0.72	    173.0	    29.82	                TRUE	   0.9432	   0.8663	   0.9925	2070353.0
    36.57	 2CXO J174542.0-290002	 17 45 42.06	-29 00 02.91	     0.72	     0.72	      0.0	    39.40	                TRUE	   0.9994	   0.9063	   1.0000	1873485.4
    36.69	 2CXO J174538.1-290055	 17 45 38.17	-29 00 55.43	     0.71	     0.71	      0.0	    57.42	                TRUE	   0.9644	   0.9300	   0.9888	2047169.3
    36.88	 2CXO J174537.5-290044	 17 45 37.52	-29 00 44.46	     0.73	     0.73	    132.5	    66.75	                TRUE	   0.9994	   0.8951	   1.0000	1793223.3
    37.24	 2CXO J174540.1-285950	 17 45 40.13	-28 59 50.93	     0.73	     0.73	     96.2	    34.94	                TRUE	   0.9994	   0.8888	   1.0000	2509899.0
    37.58	 2CXO J174538.1-290056	 17 45 38.15	-29 00 56.45	     0.71	     0.71	      0.0	    59.45	                TRUE	   0.9994	   0.9625	   1.0000	2058284.4
    38.28	 2CXO J174538.8-285953	 17 45 38.86	-28 59 53.10	     0.72	     0.72	     95.2	    30.52	                TRUE	   0.9444	   0.8951	   0.9838	2487155.0
    38.34	 2CXO J174538.2-290058	 17 45 38.23	-29 00 58.25	     0.73	     0.73	      0.0	    59.19	                TRUE	   0.9994	   0.9488	   1.0000	2100061.6
    39.91	 2CXO J174539.1-285949	 17 45 39.18	-28 59 49.84	     0.72	     0.72	      0.0	    32.23	                TRUE	   0.9519	   0.9188	   0.9775	2521017.3
    40.32	 2CXO J174537.7-290001	 17 45 37.70	-29 00 01.95	     0.71	     0.71	    130.7	    23.48	                TRUE	   0.9994	   0.9888	   1.0000	1919096.1
    40.39	 2CXO J174539.2-290107	 17 45 39.25	-29 01 07.20	     0.71	     0.71	      0.0	    45.76	                TRUE	   0.9994	   0.8813	   1.0000	2483305.9
    40.87	 2CXO J174542.2-285959	 17 45 42.26	-28 59 59.44	     0.71	     0.71	      0.0	    39.83	                TRUE	   0.9731	   0.9563	   0.9875	1654915.2
    41.05	 2CXO J174541.6-285952	 17 45 41.61	-28 59 52.69	     0.71	     0.71	     88.3	    37.67	                TRUE	   0.9994	   0.9950	   1.0000	2076163.0
    41.25	 2CXO J174539.3-285947	 17 45 39.33	-28 59 47.96	     0.72	     0.72	    173.5	    32.40	                TRUE	   0.9482	   0.8888	   0.9888	2521014.1
    41.33	 2CXO J174542.1-285957	 17 45 42.13	-28 59 57.26	     0.72	     0.72	      0.0	    36.55	                TRUE	   0.9994	   0.9400	   1.0000	1873481.9
    41.33	 2CXO J174541.9-285955	 17 45 41.94	-28 59 55.20	     0.72	     0.72	     28.4	    37.29	                TRUE	   0.9994	   0.9713	   1.0000	1873485.0
    41.49	 2CXO J174541.4-290105	 17 45 41.48	-29 01 05.10	     0.94	     0.94	      0.0	    39.22	                TRUE	   0.9219	   0.8426	   0.9800	2280005.5
    42.54	 2CXO J174536.9-290039	 17 45 36.91	-29 00 39.23	     0.71	     0.71	     39.6	    50.32	                TRUE	   0.9994	   0.9925	   1.0000	1571910.0
    43.90	 2CXO J174539.7-285944	 17 45 39.79	-28 59 44.38	     0.73	     0.72	     80.7	    30.49	                TRUE	   0.9319	   0.8638	   0.9825	2521026.4
    44.14	 2CXO J174536.8-290042	 17 45 36.86	-29 00 42.68	     0.74	     0.74	    128.1	    60.38	                TRUE	   0.9994	   0.9788	   1.0000	1571916.1
    44.40	 2CXO J174537.1-290051	 17 45 37.15	-29 00 51.33	     0.73	     0.73	    107.0	    82.93	                TRUE	   0.9032	   0.8201	   0.9675	1793220.2
    44.86	 2CXO J174539.0-285945	 17 45 39.05	-28 59 45.21	     0.78	     0.74	    160.2	    30.04	                TRUE	         	         	         	2521026.4
    44.90	 2CXO J174538.1-290105	 17 45 38.19	-29 01 05.92	     0.72	     0.71	     10.9	    70.59	                TRUE	   0.9994	   0.9688	   1.0000	2058284.3
    45.26	 2CXO J174538.9-290111	 17 45 38.98	-29 01 11.23	     0.75	     0.73	     89.4	    52.65	                TRUE	   0.8632	   0.7564	   0.9463	2388984.3
    45.59	 2CXO J174539.3-290112	 17 45 39.35	-29 01 12.85	     0.89	     0.89	      0.0	    43.10	                TRUE	   0.7795	   0.6590	   0.8813	2423650.3
