#Column	separation	(F9.2)	Distance from master source to user source	(.separation)	["arcsec"]	[pos.angDistance]
#Column	name	(A22)	Source name in the format '2CXO Jhhmmss.s{+|-}ddmmss[X]'	(master_source.name)	[""]	[]
#Column	ra	(A12)	Source position, ICRS right ascension	(master_source.ra)	[""]	[pos.eq.ra;meta.main]
#Column	dec	(A11)	Source position, ICRS declination	(master_source.dec)	[""]	[pos.eq.dec;meta.main]
#Column	gal_l	(F9.5)	Source position, Galactic longitude (equinox J2000.0, epoch J2000.0)	(master_source.gal_l)	["deg"]	[pos.galactic.lon]
#Column	gal_b	(F9.5)	Source position, Galactic latitude (equinox J2000.0, epoch J2000.0)	(master_source.gal_b)	["deg"]	[pos.galactic.lat]
#Column	err_ellipse_r0	(F9.2)	Major radius of the 95% confidence level position error ellipse	(master_source.err_ellipse_r0)	["arcsec"]	[]
#Column	err_ellipse_r1	(F9.2)	Minor radius of the 95% confidence level position error ellipse	(master_source.err_ellipse_r1)	["arcsec"]	[]
#Column	err_ellipse_ang	(F9.1)	Position angle (ref. local true north) of the major axis of the 95% confidence level error ellipse	(master_source.err_ellipse_ang)	["deg"]	[]
#Column	significance	(F9.2)	Highest flux significance (S/N) across all stacked observations and energy bands	(master_source.significance)	[""]	[]
#Column	likelihood_class	(A20)	Highest detection likelihood classification across all stacked observations and energy bands	(master_source.likelihood_class)	[""]	[]
#Column	conf_flag	(A5)	Source may be confused (source regions overlap in one or more contributing stacked observations)	(master_source.conf_flag)	[""]	[]
#Column	extent_flag	(A5)	Source is extended, or deconvolved source extent is inconsistent with a point source at the 90% confidence level in one or more observations and energy bands	(master_source.extent_flag)	[""]	[]
#Column	flux_aper_h	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events; ACIS hard (2.0-7.0 keV) energy band	(master_source.flux_aper_h)	["erg/s/cm^2"]	[]
#Column	flux_aper_lolim_h	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events (68% lower confidence limit); ACIS hard (2.0-7.0 keV) energy band	(master_source.flux_aper_lolim_h)	["erg/s/cm^2"]	[]
#Column	flux_aper_hilim_h	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events (68% upper confidence limit); ACIS hard (2.0-7.0 keV) energy band	(master_source.flux_aper_hilim_h)	["erg/s/cm^2"]	[]
#Column	hard_hm	(F9.4)	ACIS hard (2.0-7.0 keV) - medium (1.2-2.0 keV) energy band photon flux hardness ratio	(master_source.hard_hm)	[""]	[]
#Column	hard_hm_lolim	(F9.4)	ACIS hard (2.0-7.0 keV) - medium (1.2-2.0 keV) energy band photon flux hardness ratio (68% lower confidence limit)	(master_source.hard_hm_lolim)	[""]	[]
#Column	hard_hm_hilim	(F9.4)	ACIS hard (2.0-7.0 keV) - medium (1.2-2.0 keV) energy band photon flux hardness ratio (68% upper confidence limit)	(master_source.hard_hm_hilim)	[""]	[]
#Column	acis_time	(F9.1)	Total livetime for all ACIS imaging observations contributing to the Master Sources Table record of the source	(master_source.acis_time)	["s"]	[]
separation	name	ra	dec	gal_l	gal_b	err_ellipse_r0	err_ellipse_r1	err_ellipse_ang	significance	likelihood_class	conf_flag	extent_flag	flux_aper_h	flux_aper_lolim_h	flux_aper_hilim_h	hard_hm	hard_hm_lolim	hard_hm_hilim	acis_time
    42.54	 2CXO J174536.9-290039	 17 45 36.91	-29 00 39.23	359.93566	 -0.03803	     0.71	     0.71	     39.6	    50.32	                TRUE	FALSE	 TRUE	2.407e-14	2.283e-14	2.522e-14	   0.9994	   0.9925	   1.0000	1571910.0
    43.90	 2CXO J174539.7-285944	 17 45 39.79	-28 59 44.38	359.95414	 -0.03905	     0.73	     0.72	     80.7	    30.49	                TRUE	FALSE	FALSE	6.544e-16	4.837e-16	8.252e-16	   0.9319	   0.8638	   0.9825	2521026.4
    44.90	 2CXO J174538.1-290105	 17 45 38.19	-29 01 05.92	359.93177	 -0.04587	     0.72	     0.71	     10.9	    70.59	                TRUE	FALSE	FALSE	2.805e-15	2.473e-15	3.114e-15	   0.9994	   0.9688	   1.0000	2058284.3
    45.72	 2CXO J174536.8-290047	 17 45 36.87	-29 00 47.22	359.93370	 -0.03907	     0.71	     0.71	      0.0	    91.39	                TRUE	FALSE	FALSE	3.679e-15	3.249e-15	4.080e-15	   0.9994	   0.9738	   1.0000	1747554.4
    46.07	 2CXO J174539.1-290112	 17 45 39.15	-29 01 12.72	359.93198	 -0.04984	     0.72	     0.72	    109.3	    51.11	                TRUE	FALSE	FALSE	1.390e-15	1.158e-15	1.621e-15	   0.9669	   0.9300	   0.9925	2423650.3
    46.37	 2CXO J174537.1-290055	 17 45 37.19	-29 00 55.53	359.93233	 -0.04125	     0.74	     0.73	     56.7	    92.63	                TRUE	FALSE	FALSE	1.485e-15	1.177e-15	1.775e-15	   0.9994	   0.9375	   1.0000	1793220.2
    46.44	 2CXO J174539.7-290114	 17 45 39.70	-29 01 14.39	359.93264	 -0.05181	     0.73	     0.73	     59.2	    41.87	                TRUE	FALSE	FALSE	6.953e-16	5.377e-16	8.529e-16	   0.9994	   0.9438	   1.0000	2493928.1
    47.93	 2CXO J174541.1-290113	 17 45 41.17	-29 01 13.71	359.93558	 -0.05628	     0.73	     0.73	    116.9	    38.00	                TRUE	FALSE	FALSE	2.573e-15	2.290e-15	2.856e-15	   0.9494	   0.9213	   0.9738	2370372.5
    48.29	 2CXO J174538.8-285942	 17 45 38.82	-28 59 42.57	359.95274	 -0.03578	     0.73	     0.73	    177.1	    26.66	                TRUE	FALSE	FALSE	9.474e-16	7.138e-16	1.168e-15	   0.9994	   0.9425	   1.0000	2441754.5
    48.62	 2CXO J174543.1-290053	 17 45 43.20	-29 00 53.59	359.94420	 -0.05967	     0.76	     0.73	    116.8	    32.11	                TRUE	FALSE	FALSE	9.940e-16	7.455e-16	1.229e-15	   0.9282	   0.8551	   0.9813	1759636.8
    48.91	 2CXO J174536.5-290009	 17 45 36.58	-29 00 09.97	359.94198	 -0.03276	     0.75	     0.73	     43.5	    21.13	                TRUE	FALSE	FALSE	1.794e-15	1.460e-15	2.106e-15	   0.9994	   0.9650	   1.0000	1692431.7
    49.08	 2CXO J174541.0-285940	 17 45 41.02	-28 59 40.79	359.95733	 -0.04236	     0.73	     0.72	     11.3	    34.10	                TRUE	FALSE	FALSE	1.160e-15	8.381e-16	1.467e-15	   0.9994	   0.9463	   1.0000	2288597.3
    49.78	 2CXO J174537.0-290058	 17 45 37.01	-29 00 58.23	359.93136	 -0.04111	     0.72	     0.72	    123.7	   108.56	                TRUE	FALSE	FALSE	1.756e-15	1.446e-15	2.045e-15	   0.9994	   0.9613	   1.0000	1793226.4
    50.34	 2CXO J174538.6-290114	 17 45 38.63	-29 01 14.99	359.93046	 -0.04857	     0.76	     0.72	    128.8	    60.97	                TRUE	FALSE	FALSE	1.598e-15	1.325e-15	1.870e-15	   0.9994	   0.9500	   1.0000	2242706.6
    52.24	 2CXO J174543.4-290056	 17 45 43.40	-29 00 56.09	359.94400	 -0.06067	     0.74	     0.73	     88.8	    32.24	                TRUE	FALSE	FALSE	1.651e-15	1.300e-15	1.982e-15	   0.9257	   0.8626	   0.9775	1759636.8
    53.41	 2CXO J174536.4-290053	 17 45 36.47	-29 00 53.77	359.93138	 -0.03876	     0.72	     0.72	     71.3	   121.67	                TRUE	FALSE	FALSE	2.488e-15	2.134e-15	2.818e-15	   0.9994	   0.9700	   1.0000	1747551.3
    53.46	 2CXO J174541.0-285936	 17 45 41.02	-28 59 36.27	359.95840	 -0.04171	     0.72	     0.72	     67.8	    32.07	                TRUE	FALSE	FALSE	2.635e-15	2.313e-15	2.957e-15	   0.9706	   0.9375	   0.9938	2288597.3
    53.56	 2CXO J174543.3-290059	 17 45 43.38	-29 00 59.01	359.94325	 -0.06101	     0.73	     0.72	    114.3	    31.68	                TRUE	FALSE	FALSE	1.216e-15	9.698e-16	1.447e-15	         	         	         	1759636.8
